Food_Item,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Nutrient_Density_Score,Protein_Efficiency,Sugars_g,Sodium_mg,Saturated_Fat_g,Cholesterol_mg
Atole,86.0,1.69,16.28,1.54,0.2,Smoothies and grain drinks,beverages,7.86,75.72,16.12,2.2,0.02,13.87,18.0,0.82,5.0
Atole De Avena,83.0,1.74,15.46,1.58,0.2,Smoothies and grain drinks,beverages,8.39,74.51,17.13,2.34,0.02,13.98,18.0,0.84,5.0
Atole De Chocolate,103.0,1.8,20.3,1.78,0.6,Smoothies and grain drinks,beverages,6.99,78.83,15.55,2.33,0.02,17.24,30.0,1.01,6.0
"Baby Toddler Juice,",47.0,0.0,11.7,0.1,0.1,Baby juice,beverages,0.0,99.57,1.91,0.21,0.0,10.7,8.0,0.02,0.0
"Baby Toddler Juice, Apple",47.0,0.0,11.7,0.1,0.1,Baby juice,beverages,0.0,99.57,1.91,0.21,0.0,10.7,8.0,0.02,0.0
"Baby Toddler Juice, Fruit And Vegetable",47.0,0.3,11.4,0.1,0.5,Baby juice,beverages,2.55,97.02,1.91,1.7,0.01,9.6,5.0,0.03,0.0
"Baby Toddler Juice, Grape",62.0,0.0,15.38,0.0,0.0,Baby juice,beverages,0.0,99.23,0.0,0.0,0.0,15.3,10.0,0.0,0.0
"Baby Toddler Juice, Mixed Fruit",47.0,0.0,11.7,0.1,0.1,Baby juice,beverages,0.0,99.57,1.91,0.21,0.0,10.7,8.0,0.02,0.0
"Baby Toddler Juice, Pear",43.0,0.0,11.86,0.0,0.1,Baby juice,beverages,0.0,100.0,0.0,0.23,0.0,7.28,8.0,0.0,0.0
Beet Juice,25.0,0.72,5.91,0.06,1.1,Vegetable juice,beverages,11.52,94.56,2.16,7.28,0.03,4.84,19.0,0.01,0.0
"Carrot Juice, 100%",40.0,0.95,9.28,0.15,0.8,Vegetable juice,beverages,9.5,92.8,3.37,4.38,0.02,3.91,66.0,0.03,0.0
Celery Juice,17.0,0.49,3.32,0.16,1.6,Vegetable juice,beverages,11.53,78.12,8.47,10.0,0.03,1.34,97.0,0.04,0.0
Chicory Beverage,7.0,0.22,1.42,0.0,0.0,Coffee,beverages,12.57,81.14,0.0,3.14,0.03,0.0,4.0,0.0,0.0
"Coffee And Chicory, Brewed",1.0,0.12,0.0,0.02,0.0,Coffee,beverages,48.0,0.0,18.0,10.0,0.12,0.0,2.0,0.0,0.0
Coffee Substitute,6.0,0.1,1.3,0.04,0.4,Coffee,beverages,6.67,86.67,6.0,8.33,0.02,0.08,5.0,0.01,0.0
"Coffee, As To Brewed Or Instant",1.0,0.12,0.0,0.02,0.0,Coffee,beverages,48.0,0.0,18.0,10.0,0.12,0.0,2.0,0.0,0.0
"Coffee, As To Type",1.0,0.12,0.0,0.02,0.0,Coffee,beverages,48.0,0.0,18.0,10.0,0.12,0.0,2.0,0.0,0.0
"Coffee, Bottled/Canned",71.0,1.98,12.6,1.38,0.0,Coffee,beverages,11.15,70.99,17.49,2.79,0.03,10.67,26.0,0.0,5.0
"Coffee, Bottled/Canned, Light",35.0,1.27,5.91,0.7,0.0,Coffee,beverages,14.51,67.54,18.0,3.63,0.04,5.91,15.0,0.4,3.0
"Coffee, Brewed",1.0,0.12,0.0,0.02,0.0,Coffee,beverages,48.0,0.0,18.0,10.0,0.12,0.0,2.0,0.0,0.0
"Coffee, Brewed, Flavored",1.0,0.12,0.0,0.02,0.0,Coffee,beverages,48.0,0.0,18.0,10.0,0.12,0.0,2.0,0.0,0.0
"Coffee, Cafe Con Leche",40.0,1.67,5.63,1.13,0.0,Coffee,beverages,16.7,56.3,25.42,4.18,0.04,4.83,26.0,0.65,4.0
"Coffee, Cafe Con Leche, Decaffeinated",40.0,1.69,5.7,1.15,0.0,Coffee,beverages,16.9,57.0,25.87,4.22,0.04,4.91,26.0,0.66,4.0
"Coffee, Cafe Mocha",64.0,2.56,10.22,1.47,0.0,Coffee,beverages,16.0,63.88,20.67,4.0,0.04,9.3,46.0,0.86,6.0
"Coffee, Cafe Mocha, Decaffeinated",64.0,2.56,10.23,1.47,0.0,Coffee,beverages,16.0,63.94,20.67,4.0,0.04,9.3,46.0,0.86,6.0
"Coffee, Cafe Mocha, Decaffeinated, Nonfat",52.0,2.61,10.24,0.09,0.0,Coffee,beverages,20.08,78.77,1.56,5.02,0.05,9.42,47.0,0.05,2.0
"Coffee, Cafe Mocha, Decaffeinated, With Non-Dairy Milk",50.0,0.88,8.8,1.24,0.1,Coffee,beverages,7.04,70.4,22.32,1.96,0.02,7.12,54.0,0.13,0.0
"Coffee, Cafe Mocha, Nonfat",52.0,2.6,10.2,0.09,0.0,Coffee,beverages,20.0,78.46,1.56,5.0,0.05,9.37,47.0,0.05,2.0
"Coffee, Cafe Mocha, With Non-Dairy Milk",50.0,0.88,8.76,1.24,0.1,Coffee,beverages,7.04,70.08,22.32,1.96,0.02,7.08,54.0,0.13,0.0
"Coffee, Cappuccino",27.0,1.71,2.75,0.99,0.0,Coffee,beverages,25.33,40.74,33.0,6.33,0.06,2.46,23.0,0.57,4.0
"Coffee, Cappuccino, Decaffeinated",27.0,1.72,2.76,0.99,0.0,Coffee,beverages,25.48,40.89,33.0,6.37,0.06,2.48,23.0,0.58,4.0
"Coffee, Cappuccino, Decaffeinated, Nonfat",19.0,1.75,2.77,0.07,0.0,Coffee,beverages,36.84,58.32,3.32,9.21,0.09,2.56,24.0,0.04,2.0
"Coffee, Cappuccino, Decaffeinated, With Non-Dairy Milk",17.0,0.6,1.83,0.85,0.1,Coffee,beverages,14.12,43.06,45.0,4.12,0.04,1.04,29.0,0.1,0.0
"Coffee, Cappuccino, Nonfat",19.0,1.75,2.76,0.07,0.0,Coffee,beverages,36.84,58.11,3.32,9.21,0.09,2.54,24.0,0.04,2.0
"Coffee, Cappuccino, With Non-Dairy Milk",17.0,0.6,1.82,0.84,0.1,Coffee,beverages,14.12,42.82,44.47,4.12,0.04,1.03,29.0,0.1,0.0
"Coffee, Cuban",34.0,0.11,7.84,0.19,0.0,Coffee,beverages,1.29,92.24,5.03,0.32,0.0,6.28,13.0,0.09,0.0
"Coffee, Decaffeinated, Pre-Lightened",14.0,0.15,1.89,0.71,0.0,Coffee,beverages,4.29,54.0,45.64,1.07,0.01,0.17,7.0,0.41,0.0
"Coffee, Decaffeinated, Pre-Lightened And Pre-Sweetened With Low Calorie Sweetener",16.0,0.15,2.38,0.7,0.0,Coffee,beverages,3.75,59.5,39.38,0.94,0.01,0.6,7.0,0.41,0.0
"Coffee, Decaffeinated, Pre-Lightened And Pre-Sweetened With Sugar",27.0,0.14,5.11,0.69,0.0,Coffee,beverages,2.07,75.7,23.0,0.52,0.01,3.45,7.0,0.4,0.0
"Coffee, Decaffeinated, Pre-Sweetened With Low Calorie Sweetener",5.0,0.1,1.14,0.0,0.0,Coffee,beverages,8.0,91.2,0.0,2.0,0.02,0.45,4.0,0.0,0.0
"Coffee, Decaffeinated, Pre-Sweetened With Sugar",16.0,0.09,3.97,0.01,0.0,Coffee,beverages,2.25,99.25,0.56,0.56,0.01,3.36,4.0,0.0,0.0
"Coffee, Espresso",9.0,0.12,1.67,0.18,0.0,Coffee,beverages,5.33,74.22,18.0,1.33,0.01,0.0,14.0,0.09,0.0
"Coffee, Espresso, Decaffeinated",9.0,0.1,1.69,0.18,0.0,Coffee,beverages,4.44,75.11,18.0,1.11,0.01,0.0,14.0,0.09,0.0
"Coffee, Iced Cafe Mocha",50.0,1.58,8.95,0.91,0.0,Coffee,beverages,12.64,71.6,16.38,3.16,0.03,7.99,35.0,0.53,4.0
"Coffee, Iced Cafe Mocha, Decaffeinated",51.0,1.59,8.99,0.92,0.0,Coffee,beverages,12.47,70.51,16.24,3.12,0.03,8.03,36.0,0.53,4.0
"Coffee, Iced Cafe Mocha, Decaffeinated, Nonfat",43.0,1.62,9.0,0.06,0.0,Coffee,beverages,15.07,83.72,1.26,3.77,0.04,8.11,37.0,0.04,1.0
"Coffee, Iced Cafe Mocha, Decaffeinated, With Non-Dairy Milk",42.0,0.55,8.1,0.78,0.0,Coffee,beverages,5.24,77.14,16.71,1.31,0.01,6.69,41.0,0.09,0.0
"Coffee, Iced Cafe Mocha, Nonfat",43.0,1.61,8.96,0.07,0.0,Coffee,beverages,14.98,83.35,1.47,3.74,0.04,8.07,36.0,0.04,1.0
"Coffee, Iced Cafe Mocha, With Non-Dairy Milk",42.0,0.55,8.07,0.78,0.0,Coffee,beverages,5.24,76.86,16.71,1.31,0.01,6.65,41.0,0.09,0.0
"Coffee, Iced Latte",27.0,1.75,2.81,1.01,0.0,Coffee,beverages,25.93,41.63,33.67,6.48,0.06,2.51,23.0,0.59,4.0
"Coffee, Iced Latte, Decaffeinated",27.0,1.75,2.82,1.01,0.0,Coffee,beverages,25.93,41.78,33.67,6.48,0.06,2.53,23.0,0.59,4.0
"Coffee, Iced Latte, Decaffeinated, Flavored",40.0,1.69,6.12,0.99,0.0,Coffee,beverages,16.9,61.2,22.28,4.22,0.04,5.84,23.0,0.57,4.0
"Coffee, Iced Latte, Decaffeinated, Nonfat",19.0,1.79,2.83,0.07,0.0,Coffee,beverages,37.68,59.58,3.32,9.42,0.09,2.61,25.0,0.04,2.0
"Coffee, Iced Latte, Decaffeinated, Nonfat, Flavored",32.0,1.73,6.13,0.08,0.0,Coffee,beverages,21.62,76.62,2.25,5.41,0.05,5.92,24.0,0.04,1.0
"Coffee, Iced Latte, Decaffeinated, With Non-Dairy Milk",18.0,0.61,1.86,0.86,0.1,Coffee,beverages,13.56,41.33,43.0,3.94,0.03,1.05,30.0,0.1,0.0
"Coffee, Iced Latte, Decaffeinated, With Non-Dairy Milk, Flavored",31.0,0.59,5.18,0.84,0.1,Coffee,beverages,7.61,66.84,24.39,2.23,0.02,4.41,29.0,0.1,0.0
"Coffee, Iced Latte, Flavored",40.0,1.69,6.09,0.98,0.0,Coffee,beverages,16.9,60.9,22.05,4.22,0.04,5.81,23.0,0.57,4.0
"Coffee, Iced Latte, Nonfat",19.0,1.78,2.82,0.07,0.0,Coffee,beverages,37.47,59.37,3.32,9.37,0.09,2.6,24.0,0.04,2.0
"Coffee, Iced Latte, Nonfat, Flavored",32.0,1.72,6.1,0.08,0.0,Coffee,beverages,21.5,76.25,2.25,5.38,0.05,5.89,24.0,0.04,1.0
"Coffee, Iced Latte, With Non-Dairy Milk",24.0,1.36,2.83,0.79,0.1,Coffee,beverages,22.67,47.17,29.62,6.08,0.06,1.88,28.0,0.12,0.0
"Coffee, Iced Latte, With Non-Dairy Milk, Flavored",31.0,0.59,5.16,0.84,0.0,Coffee,beverages,7.61,66.58,24.39,1.9,0.02,4.39,28.0,0.1,0.0
"Coffee, Instant, 50% Less Caffeine, Reconstituted",3.0,0.12,0.61,0.0,0.0,Coffee,beverages,16.0,81.33,0.0,4.0,0.04,0.0,4.0,0.0,0.0
"Coffee, Instant, Decaffeinated, Pre-Lightened And Pre-Sweetened With Low Calorie Sweetener, Reconstituted",16.0,0.15,2.38,0.7,0.0,Coffee,beverages,3.75,59.5,39.38,0.94,0.01,0.6,7.0,0.41,0.0
"Coffee, Instant, Decaffeinated, Pre-Lightened And Pre-Sweetened With Sugar, Reconsitituted",27.0,0.14,5.11,0.69,0.0,Coffee,beverages,2.07,75.7,23.0,0.52,0.01,3.45,7.0,0.4,0.0
"Coffee, Instant, Decaffeinated, Reconstituted",3.0,0.1,0.64,0.0,0.0,Coffee,beverages,13.33,85.33,0.0,3.33,0.03,0.0,4.0,0.0,0.0
"Coffee, Instant, Pre-Lightened And Pre-Sweetened With Low Calorie Sweetener, Reconstituted",16.0,0.15,2.37,0.7,0.0,Coffee,beverages,3.75,59.25,39.38,0.94,0.01,0.6,7.0,0.41,0.0
"Coffee, Instant, Pre-Lightened And Pre-Sweetened With Sugar, Reconstituted",27.0,0.15,5.11,0.7,0.0,Coffee,beverages,2.22,75.7,23.33,0.56,0.01,3.45,7.0,0.4,0.0
"Coffee, Instant, Pre-Sweetened With Sugar, Reconstituted",16.0,0.1,3.96,0.02,0.0,Coffee,beverages,2.5,99.0,1.12,0.62,0.01,3.36,4.0,0.0,0.0
"Coffee, Instant, Reconstituted",3.0,0.1,0.63,0.0,0.0,Coffee,beverages,13.33,84.0,0.0,3.33,0.03,0.0,4.0,0.0,0.0
"Coffee, Latte",43.0,2.81,4.35,1.61,0.0,Coffee,beverages,26.14,40.47,33.7,6.53,0.07,4.06,35.0,0.94,7.0
"Coffee, Latte, Decaffeinated",43.0,2.82,4.37,1.62,0.0,Coffee,beverages,26.23,40.65,33.91,6.56,0.07,4.09,35.0,0.94,7.0
"Coffee, Latte, Decaffeinated, Flavored",55.0,2.73,7.53,1.57,0.0,Coffee,beverages,19.85,54.76,25.69,4.96,0.05,7.26,34.0,0.91,6.0
"Coffee, Latte, Decaffeinated, Nonfat",30.0,2.88,4.39,0.1,0.0,Coffee,beverages,38.4,58.53,3.0,9.6,0.1,4.22,37.0,0.06,3.0
"Coffee, Latte, Decaffeinated, Nonfat, Flavored",42.0,2.79,7.54,0.1,0.0,Coffee,beverages,26.57,71.81,2.14,6.64,0.07,7.38,35.0,0.05,2.0
"Coffee, Latte, Decaffeinated, With Non-Dairy Milk",28.0,0.97,2.82,1.37,0.1,Coffee,beverages,13.86,40.29,44.04,3.82,0.03,1.7,45.0,0.15,0.0
"Coffee, Latte, Decaffeinated, With Non-Dairy Milk, Flavored",40.0,0.94,6.01,1.33,0.1,Coffee,beverages,9.4,60.1,29.92,2.6,0.02,4.94,43.0,0.14,0.0
"Coffee, Latte, Flavored",55.0,2.72,7.49,1.57,0.0,Coffee,beverages,19.78,54.47,25.69,4.95,0.05,7.22,34.0,0.91,6.0
"Coffee, Latte, Nonfat",30.0,2.87,4.37,0.1,0.0,Coffee,beverages,38.27,58.27,3.0,9.57,0.1,4.2,36.0,0.06,2.0
"Coffee, Latte, Nonfat, Flavored",42.0,2.78,7.51,0.1,0.0,Coffee,beverages,26.48,71.52,2.14,6.62,0.07,7.35,35.0,0.05,2.0
"Coffee, Latte, With Non-Dairy Milk",28.0,0.97,2.81,1.36,0.1,Coffee,beverages,13.86,40.14,43.71,3.82,0.03,1.69,44.0,0.15,0.0
"Coffee, Latte, With Non-Dairy Milk, Flavored",40.0,0.94,5.99,1.33,0.1,Coffee,beverages,9.4,59.9,29.92,2.6,0.02,4.91,43.0,0.14,0.0
"Coffee, Macchiato",23.0,1.18,2.71,0.83,0.0,Coffee,beverages,20.52,47.13,32.48,5.13,0.05,1.61,22.0,0.47,3.0
"Coffee, Macchiato, Sweetened",40.0,1.13,6.89,0.8,0.0,Coffee,beverages,11.3,68.9,18.0,2.82,0.03,5.84,21.0,0.45,3.0
"Coffee, Mocha, Instant, Pre-Lightened And Pre-Sweetened With Low Calorie Sweetener, Reconstituted",15.0,0.32,2.46,0.43,0.2,Coffee,beverages,8.53,65.6,25.8,3.47,0.02,1.14,20.0,0.37,0.0
"Coffee, Pre-Lightened",14.0,0.15,1.88,0.71,0.0,Coffee,beverages,4.29,53.71,45.64,1.07,0.01,0.17,7.0,0.41,0.0
"Coffee, Pre-Lightened And Pre-Sweetened With Low Calorie Sweetener",16.0,0.15,2.37,0.7,0.0,Coffee,beverages,3.75,59.25,39.38,0.94,0.01,0.6,7.0,0.41,0.0
"Coffee, Pre-Lightened And Pre-Sweetened With Sugar",27.0,0.15,5.11,0.7,0.0,Coffee,beverages,2.22,75.7,23.33,0.56,0.01,3.45,7.0,0.4,0.0
"Coffee, Pre-Sweetened With Low Calorie Sweetener",5.0,0.1,1.13,0.0,0.0,Coffee,beverages,8.0,90.4,0.0,2.0,0.02,0.45,4.0,0.0,0.0
"Coffee, Pre-Sweetened With Sugar",16.0,0.1,3.96,0.02,0.0,Coffee,beverages,2.5,99.0,1.12,0.62,0.01,3.36,4.0,0.0,0.0
"Coffee, Turkish",27.0,0.11,6.47,0.04,0.0,Coffee,beverages,1.63,95.85,1.33,0.41,0.0,6.48,2.0,0.0,0.0
Corn Beverage,44.0,0.84,9.4,0.21,0.5,Smoothies and grain drinks,beverages,7.64,85.45,4.3,3.05,0.02,0.19,135.0,0.03,0.0
Energy Drink,43.0,0.46,10.23,0.0,0.0,Sport and energy drinks,beverages,4.28,95.16,0.0,1.07,0.01,10.22,39.0,0.0,0.0
Energy Drink (Full Throttle),46.0,0.25,12.08,0.08,0.0,Sport and energy drinks,beverages,2.17,100.0,1.57,0.54,0.01,12.08,35.0,0.0,0.0
Energy Drink (Monster),47.0,0.47,11.28,0.0,0.0,Sport and energy drinks,beverages,4.0,96.0,0.0,1.0,0.01,10.93,77.0,0.0,0.0
Energy Drink (Mountain Dew Amp),46.0,0.25,12.08,0.08,0.0,Sport and energy drinks,beverages,2.17,100.0,1.57,0.54,0.01,12.08,27.0,0.0,0.0
Energy Drink (No Fear Motherload),62.0,0.42,15.0,0.0,0.0,Sport and energy drinks,beverages,2.71,96.77,0.0,0.68,0.01,13.75,48.0,0.0,0.0
Energy Drink (No Fear),62.0,0.42,15.0,0.0,0.0,Sport and energy drinks,beverages,2.71,96.77,0.0,0.68,0.01,13.75,48.0,0.0,0.0
Energy Drink (Nos),44.0,0.0,11.25,0.0,0.0,Sport and energy drinks,beverages,0.0,100.0,0.0,0.0,0.0,11.25,85.0,0.0,0.0
Energy Drink (Ocean Spray Cran-Energy Juice Drink),15.0,0.0,3.75,0.0,0.0,Sport and energy drinks,beverages,0.0,100.0,0.0,0.0,0.0,3.75,21.0,0.0,0.0
Energy Drink (Red Bull),43.0,0.46,10.23,0.0,0.0,Sport and energy drinks,beverages,4.28,95.16,0.0,1.07,0.01,10.22,39.0,0.0,0.0
Energy Drink (Rockstar),58.0,0.34,12.7,0.22,0.0,Sport and energy drinks,beverages,2.34,87.59,3.41,0.59,0.01,12.26,16.0,0.0,0.0
Energy Drink (Sobe Energize Energy Juice Drink),45.0,0.0,11.27,0.0,0.0,Sport and energy drinks,beverages,0.0,100.0,0.0,0.0,0.0,10.42,10.0,0.0,0.0
Energy Drink (Vault),49.0,0.0,12.99,0.0,0.0,Sport and energy drinks,beverages,0.0,100.0,0.0,0.0,0.0,12.99,12.0,0.0,0.0
Energy Drink (Xs Gold Plus),5.0,0.25,0.7,0.08,0.0,Sport and energy drinks,beverages,20.0,56.0,14.4,5.0,0.05,0.0,83.0,0.0,0.0
Energy Drink (Xs),5.0,0.25,0.7,0.08,0.0,Sport and energy drinks,beverages,20.0,56.0,14.4,5.0,0.05,0.0,83.0,0.0,0.0
"Energy Drink, Low Calorie (Monster)",5.0,0.0,1.38,0.0,0.0,Diet sport and energy drinks,beverages,0.0,100.0,0.0,0.0,0.0,1.38,75.0,0.0,0.0
"Energy Drink, Sugar Free",4.0,0.25,0.7,0.08,0.0,Diet sport and energy drinks,beverages,25.0,70.0,18.0,6.25,0.06,0.0,68.0,0.0,0.0
"Energy Drink, Sugar Free (Monster)",5.0,0.0,1.38,0.0,0.0,Diet sport and energy drinks,beverages,0.0,100.0,0.0,0.0,0.0,1.38,75.0,0.0,0.0
"Energy Drink, Sugar Free (Mountain Dew Amp)",2.0,0.0,1.03,0.0,0.0,Diet sport and energy drinks,beverages,0.0,100.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0
"Energy Drink, Sugar Free (No Fear)",4.0,0.42,0.42,0.0,0.0,Diet sport and energy drinks,beverages,42.0,42.0,0.0,10.0,0.1,0.0,42.0,0.0,0.0
"Energy Drink, Sugar Free (Rockstar)",4.0,0.25,0.7,0.08,0.0,Diet sport and energy drinks,beverages,25.0,70.0,18.0,6.25,0.06,0.0,52.0,0.0,0.0
"Energy Drink, Sugar Free (Vault)",1.0,0.25,0.7,0.08,0.0,Diet sport and energy drinks,beverages,100.0,100.0,72.0,10.0,0.25,0.0,14.0,0.0,0.0
"Energy Drink, Sugar-Free (Nos)",4.0,0.0,1.03,0.0,0.0,Diet sport and energy drinks,beverages,0.0,100.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0
"Energy Drink, Sugar-Free (Red Bull)",5.0,0.25,0.7,0.08,0.0,Diet sport and energy drinks,beverages,20.0,56.0,14.4,5.0,0.05,0.0,83.0,0.0,0.0
"Fluid Replacement, Electrolyte Solution",10.0,0.0,2.45,0.0,0.0,Sport and energy drinks,beverages,0.0,98.0,0.0,0.0,0.0,2.45,101.0,0.0,0.0
Frescavena,45.0,0.25,10.59,0.15,0.2,Smoothies and grain drinks,beverages,2.22,94.13,3.0,1.0,0.01,9.36,4.0,0.02,0.0
Frozen Coffee Drink,68.0,1.56,13.4,0.93,0.0,Coffee,beverages,9.18,78.82,12.31,2.29,0.02,13.16,21.0,0.52,4.0
"Frozen Coffee Drink, Decaffeinated",68.0,1.56,13.46,0.94,0.0,Coffee,beverages,9.18,79.18,12.44,2.29,0.02,13.23,21.0,0.52,4.0
"Frozen Coffee Drink, Decaffeinated, Nonfat",61.0,1.59,13.47,0.1,0.0,Coffee,beverages,10.43,88.33,1.48,2.61,0.03,13.3,22.0,0.04,1.0
"Frozen Coffee Drink, Decaffeinated, Nonfat, With Whipped Cream",76.0,1.62,12.96,1.99,0.0,Coffee,beverages,8.53,68.21,23.57,2.13,0.02,12.75,22.0,1.12,7.0
"Frozen Coffee Drink, Decaffeinated, With Non-Dairy Milk",70.0,1.58,13.61,1.0,0.0,Coffee,beverages,9.03,77.77,12.86,2.26,0.02,13.06,18.0,0.15,0.0
"Frozen Coffee Drink, Decaffeinated, With Non-Dairy Milk And Whipped Cream",80.0,1.26,12.94,2.59,0.1,Coffee,beverages,6.3,64.7,29.14,1.7,0.02,12.12,25.0,1.19,5.0
"Frozen Coffee Drink, Decaffeinated, With Whipped Cream",83.0,1.58,12.95,2.78,0.0,Coffee,beverages,7.61,62.41,30.14,1.9,0.02,12.68,21.0,1.58,9.0
"Frozen Coffee Drink, Nonfat",61.0,1.59,13.41,0.1,0.0,Coffee,beverages,10.43,87.93,1.48,2.61,0.03,13.23,22.0,0.04,1.0
"Frozen Coffee Drink, Nonfat, With Whipped Cream",76.0,1.61,12.9,1.98,0.0,Coffee,beverages,8.47,67.89,23.45,2.12,0.02,12.69,22.0,1.12,7.0
"Frozen Coffee Drink, With Non-Dairy Milk",60.0,0.54,12.53,0.8,0.0,Coffee,beverages,3.6,83.53,12.0,0.9,0.01,11.83,26.0,0.09,0.0
"Frozen Coffee Drink, With Non-Dairy Milk And Whipped Cream",75.0,0.62,12.06,2.64,0.0,Coffee,beverages,3.31,64.32,31.68,0.83,0.01,11.36,26.0,1.16,5.0
"Frozen Coffee Drink, With Whipped Cream",83.0,1.58,12.89,2.77,0.0,Coffee,beverages,7.61,62.12,30.04,1.9,0.02,12.62,21.0,1.58,9.0
Frozen Mocha Coffee Drink,66.0,1.51,13.07,0.88,0.0,Coffee,beverages,9.15,79.21,12.0,2.29,0.02,12.17,34.0,0.51,4.0
"Frozen Mocha Coffee Drink, Decaffeinated",67.0,1.51,13.13,0.89,0.0,Coffee,beverages,9.01,78.39,11.96,2.25,0.02,12.23,34.0,0.51,4.0
"Frozen Mocha Coffee Drink, Decaffeinated, Nonfat",59.0,1.54,13.14,0.08,0.0,Coffee,beverages,10.44,89.08,1.22,2.61,0.03,12.3,35.0,0.04,1.0
"Frozen Mocha Coffee Drink, Decaffeinated, Nonfat, With Whipped Cream",74.0,1.57,12.65,1.91,0.0,Coffee,beverages,8.49,68.38,23.23,2.12,0.02,11.81,34.0,1.09,7.0
"Frozen Mocha Coffee Drink, Decaffeinated, With Non-Dairy Milk",58.0,0.52,12.28,0.76,0.0,Coffee,beverages,3.59,84.69,11.79,0.9,0.01,10.93,39.0,0.08,0.0
"Frozen Mocha Coffee Drink, Decaffeinated, With Non-Dairy Milk And Whipped Cream",73.0,0.6,11.84,2.56,0.0,Coffee,beverages,3.29,64.88,31.56,0.82,0.01,10.52,38.0,1.13,5.0
"Frozen Mocha Coffee Drink, Decaffeinated, With Whipped Cream",81.0,1.54,12.64,2.68,0.0,Coffee,beverages,7.6,62.42,29.78,1.9,0.02,11.74,33.0,1.54,9.0
"Frozen Mocha Coffee Drink, Nonfat",59.0,1.54,13.08,0.08,0.0,Coffee,beverages,10.44,88.68,1.22,2.61,0.03,12.24,35.0,0.04,1.0
"Frozen Mocha Coffee Drink, Nonfat, With Whipped Cream",74.0,1.56,12.6,1.91,0.0,Coffee,beverages,8.43,68.11,23.23,2.11,0.02,11.76,34.0,1.08,7.0
"Frozen Mocha Coffee Drink, With Non-Dairy Milk",58.0,0.52,12.22,0.75,0.0,Coffee,beverages,3.59,84.28,11.64,0.9,0.01,10.88,39.0,0.08,0.0
"Frozen Mocha Coffee Drink, With Non-Dairy Milk And Whipped Cream",73.0,0.6,11.79,2.54,0.0,Coffee,beverages,3.29,64.6,31.32,0.82,0.01,10.47,38.0,1.13,5.0
"Frozen Mocha Coffee Drink, With Whipped Cream",81.0,1.54,12.59,2.67,0.0,Coffee,beverages,7.6,62.17,29.67,1.9,0.02,11.69,33.0,1.53,9.0
"Fruit And Vegetable Smoothie, Added Protein",86.0,7.49,12.24,0.78,1.1,Smoothies and grain drinks,beverages,34.84,56.93,8.16,9.99,0.09,8.47,36.0,0.34,3.0
"Fruit And Vegetable Smoothie, Bottled",53.0,0.6,12.53,0.26,0.7,Smoothies and grain drinks,beverages,4.53,94.57,4.42,2.45,0.01,11.15,6.0,0.05,0.0
"Fruit And Vegetable Smoothie, No Dairy",63.0,1.09,13.78,0.37,1.0,Smoothies and grain drinks,beverages,6.92,87.49,5.29,3.32,0.02,9.82,19.0,0.06,0.0
"Fruit And Vegetable Smoothie, Non-Dairy",60.0,1.16,12.39,0.61,1.0,Smoothies and grain drinks,beverages,7.73,82.6,9.15,3.6,0.02,8.62,28.0,0.09,0.0
"Fruit And Vegetable Smoothie, Non-Dairy, Added Protein",83.0,7.09,11.92,0.69,1.2,Smoothies and grain drinks,beverages,34.17,57.45,7.48,9.99,0.09,7.95,38.0,0.14,1.0
"Fruit And Vegetable Smoothie, With Dairy",64.0,1.59,12.74,0.72,1.0,Smoothies and grain drinks,beverages,9.94,79.62,10.12,4.05,0.02,9.17,26.0,0.3,2.0
"Fruit Flavored Drink, Diet",4.0,0.01,1.45,0.0,0.0,Other diet drinks,beverages,1.0,100.0,0.0,0.25,0.0,0.0,11.0,0.0,0.0
"Fruit Flavored Drink, Powdered, Reconstituted, Diet",2.0,0.0,0.73,0.0,0.0,Other diet drinks,beverages,0.0,100.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
"Fruit Flavored Drink, With High Vitamin C, Diet",2.0,0.0,0.87,0.0,0.0,Other diet drinks,beverages,0.0,100.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
"Fruit Flavored Drink, With High Vitamin C, Powdered, Reconstituted, Diet",2.0,0.0,0.87,0.0,0.0,Other diet drinks,beverages,0.0,100.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
"Fruit Smoothie Juice Drink, No Dairy",51.0,0.6,11.88,0.24,1.0,Smoothies and grain drinks,beverages,4.71,93.18,4.24,3.14,0.01,8.35,2.0,0.03,0.0
"Fruit Smoothie Juice Drink, With Dairy",65.0,0.86,15.05,0.14,0.9,Smoothies and grain drinks,beverages,5.29,92.62,1.94,2.71,0.01,12.68,14.0,0.0,1.0
"Fruit Smoothie,",66.0,2.32,11.98,1.1,1.1,Smoothies and grain drinks,beverages,14.06,72.61,15.0,5.18,0.04,8.91,28.0,0.59,4.0
"Fruit Smoothie, Bottled",50.0,0.48,11.66,0.27,0.6,Smoothies and grain drinks,beverages,3.84,93.28,4.86,2.16,0.01,10.05,2.0,0.06,0.0
