Food_Item,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Nutrient_Density_Score,Protein_Efficiency,Sugars_g,Sodium_mg,Saturated_Fat_g,Cholesterol_mg
"Corn Flour Patty Or Tart, Fried",218.0,3.98,41.18,4.64,3.0,"Biscuits, muffins, quick breads",quick_carbs,7.3,75.56,19.16,3.2,0.02,5.91,483.0,0.64,0.0
"Corn Pone, Baked",214.0,3.5,39.68,4.31,1.9,"Biscuits, muffins, quick breads",quick_carbs,6.54,74.17,18.13,2.52,0.02,0.79,437.0,0.97,0.0
"Corn Pone, Fried",254.0,3.34,37.79,9.78,1.8,"Biscuits, muffins, quick breads",quick_carbs,5.26,59.51,34.65,2.02,0.01,0.76,417.0,2.34,0.0
"Cornbread Muffin, Stick, Round",305.0,5.9,51.0,8.4,3.4,"Biscuits, muffins, quick breads",quick_carbs,7.74,66.89,24.79,3.05,0.02,17.78,385.0,1.35,26.0
"Cornbread Muffin, Stick, Round, Made From Home Recipe",307.0,7.02,45.94,10.51,1.6,"Biscuits, muffins, quick breads",quick_carbs,9.15,59.86,30.81,2.81,0.02,7.34,519.0,2.0,42.0
"Cornbread, Made From Home Recipe",287.0,6.55,42.87,9.8,1.5,"Biscuits, muffins, quick breads",quick_carbs,9.13,59.75,30.73,2.8,0.02,6.85,485.0,1.86,39.0
"Cornbread, Prepared From Mix",330.0,6.59,54.46,9.58,2.3,"Biscuits, muffins, quick breads",quick_carbs,7.99,66.01,26.13,2.69,0.02,16.05,599.0,3.73,57.0
"Cornmeal Mush, As To Fat",71.0,1.11,12.25,1.84,0.6,Grits and other cooked cereals,quick_carbs,6.25,69.01,23.32,2.41,0.02,0.26,82.0,0.71,3.0
"Cornmeal Mush, Fat Added",71.0,1.11,12.25,1.84,0.6,Grits and other cooked cereals,quick_carbs,6.25,69.01,23.32,2.41,0.02,0.26,82.0,0.71,3.0
"Cornmeal Mush, No Added Fat",58.0,1.12,12.47,0.28,0.6,Grits and other cooked cereals,quick_carbs,7.72,86.0,4.34,2.97,0.02,0.25,71.0,0.04,0.0
"Cornmeal Stick, Puerto Rican Style",415.0,6.92,48.38,20.97,2.4,"Biscuits, muffins, quick breads",quick_carbs,6.67,46.63,45.48,2.25,0.02,1.03,414.0,4.55,10.0
"Couscous, Plain, Cooked",111.0,3.77,23.11,0.16,1.4,"Pasta, noodles, cooked grains",quick_carbs,13.59,83.28,1.3,4.66,0.03,0.1,189.0,0.03,0.0
"Crackers,",510.0,6.64,61.3,26.43,2.3,"Crackers, excludes saltines",quick_carbs,5.21,48.08,46.64,1.75,0.01,8.18,726.0,5.56,0.0
"Crackers, Breakfast Biscuit",427.0,7.12,70.99,15.07,7.3,"Crackers, excludes saltines",quick_carbs,6.67,66.5,31.76,3.38,0.02,22.83,430.0,2.24,0.0
"Crackers, Butter (Ritz)",510.0,6.64,61.3,26.43,2.3,"Crackers, excludes saltines",quick_carbs,5.21,48.08,46.64,1.75,0.01,8.18,726.0,5.56,0.0
