Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Pasta, Whole Grain, With Tomato-Based Sauce, Home Recipe",complex_carbs,102.0,3.78,19.47,1.6,2.9,3.04,204.0,5,2,7,4,4,3,"breakfast, pre_workout",80-120g,10.865,6.55,0.04,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,14.82,76.35,14.12,0.21,1.0,14
"Roll, Gluten Free",complex_carbs,239.0,3.34,50.47,2.65,5.1,6.87,593.0,5,3,6,6,6,2,breakfast,80-120g,10.859000000000002,3.53,0.01,Rolls and buns,other,5.59,84.47,9.98,0.22,0.0,14
Pakora,complex_carbs,125.0,4.92,16.24,4.77,3.2,2.97,380.0,6,2,6,4,4,3,"breakfast, pre_workout",80-120g,10.850000000000001,6.5,0.04,Fried vegetables,vegetables,15.74,51.97,34.34,0.6,0.0,14
Sweet Potato Chips,complex_carbs,529.0,2.92,56.54,32.19,8.8,8.78,227.0,3,7,4,9,4,2,breakfast,80-120g,10.766000000000002,2.22,0.01,"Tortilla, corn, other chips",processed_foods,2.21,42.75,54.77,2.93,0.0,14
"Waffle, Whole Grain, Fast Food / Restaurant",complex_carbs,421.0,8.64,36.15,26.94,3.5,7.57,855.0,2,8,5,9,4,0,"breakfast, lunch, dinner",80-120g,10.764,2.88,0.02,"Pancakes, waffles, French toast",quick_carbs,8.21,34.35,57.59,5.09,75.0,15
"Pie, Berry",complex_carbs,306.0,3.16,39.53,15.43,3.6,16.49,217.0,3,7,4,9,6,0,breakfast,80-120g,10.763000000000002,2.21,0.01,Cakes and pies,energy_dense,4.13,51.67,45.38,5.34,7.0,14
"Pasta, Whole Grain, With Tomato-Based Sauce And Added Vegetables, Ready-To-Heat",complex_carbs,114.0,3.76,18.76,3.25,2.8,2.72,294.0,5,2,7,4,4,3,"breakfast, pre_workout",80-120g,10.625,5.75,0.03,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,13.19,65.82,25.66,0.43,1.0,14
"Pie, Sweet Potato",complex_carbs,269.0,4.96,41.08,9.75,1.3,25.16,269.0,2,7,6,7,6,0,breakfast,80-120g,10.599,2.33,0.02,Cakes and pies,energy_dense,7.38,61.09,32.62,4.07,47.0,15
"Papaya, Dried",complex_carbs,302.0,1.25,75.43,0.84,4.5,67.55,22.0,4,5,4,8,6,2,breakfast,80-120g,10.57,1.9,0.0,Dried fruits,fruits,1.66,99.91,2.5,0.22,0.0,13
"Cranberries, Dried",complex_carbs,308.0,0.17,82.8,1.09,5.3,72.56,5.0,4,5,4,8,6,2,breakfast,80-120g,10.533999999999999,1.78,0.0,Dried fruits,fruits,0.22,100.0,3.19,0.09,0.0,13
Water Chesnut,complex_carbs,78.0,1.38,19.22,0.09,3.9,3.84,12.0,7,2,4,4,4,3,"breakfast, pre_workout",80-120g,10.530999999999999,6.77,0.02,Other starchy vegetables,vegetables,7.08,98.56,1.04,0.02,0.0,13
"Bread, Sweet Potato",complex_carbs,241.0,8.64,45.38,2.87,1.7,3.53,474.0,3,5,6,6,6,0,"breakfast, lunch, dinner",80-120g,10.487,4.29,0.04,Yeast breads,quick_carbs,14.34,75.32,10.72,0.96,4.0,14
"Pasta, Whole Grain, With Cream Sauce, Ready-To-Heat",complex_carbs,163.0,4.04,16.09,9.74,2.0,0.81,402.0,3,5,7,5,6,0,"breakfast, pre_workout",80-120g,10.413,3.71,0.02,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,9.91,39.48,53.78,4.38,21.0,15
"Muffin, Fruit, Low-Fat",complex_carbs,255.0,4.23,50.05,4.22,4.2,27.05,413.0,3,4,6,6,6,2,breakfast,80-120g,10.393,3.31,0.02,"Biscuits, muffins, quick breads",quick_carbs,6.64,78.51,14.89,1.55,28.0,13
Buckwheat Groats,complex_carbs,118.0,3.24,18.99,3.97,2.6,0.87,170.0,5,2,7,4,4,3,"breakfast, pre_workout",80-120g,10.385000000000002,4.95,0.03,"Pasta, noodles, cooked grains",quick_carbs,10.98,64.37,30.28,1.58,6.0,14
"Pretzels, Soft, Gluten Free, Cinnamon Sugar Coated",complex_carbs,339.0,3.1,63.75,8.14,3.8,22.41,631.0,3,6,4,9,6,0,breakfast,80-120g,10.312000000000001,2.04,0.01,Pretzels/snack mix,other,3.66,75.22,21.61,3.68,10.0,13
"Persimmon, Raw",complex_carbs,70.0,0.58,18.59,0.19,3.6,12.53,1.0,7,2,4,4,4,3,"breakfast, pre_workout",80-120g,10.291,5.97,0.01,Other fruits and fruit salads,vegetables,3.31,100.0,2.44,0.02,0.0,13
"Pear, Raw",complex_carbs,59.0,0.37,15.18,0.15,3.1,9.73,3.0,7,2,4,4,4,3,"breakfast, pre_workout",80-120g,10.264,5.88,0.01,Pears,other,2.51,100.0,2.29,0.02,0.0,13
"Sweet Potato, Cooked, As Ingredient",complex_carbs,82.0,1.65,18.05,0.4,3.1,6.31,0.0,7,2,4,4,4,3,"breakfast, pre_workout",80-120g,10.237,5.79,0.02,Not included in a food category,other,8.05,88.05,4.39,0.02,0.0,13
"Sweet Potato, Boiled, No Added Fat",complex_carbs,82.0,1.64,17.98,0.39,3.1,6.29,154.0,7,2,4,4,4,3,"breakfast, pre_workout",80-120g,10.234,5.78,0.02,Other red and orange vegetables,vegetables,8.0,87.71,4.28,0.02,0.0,13
