Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Cream, Light",healthy_fats,195.0,2.96,3.66,19.1,0.0,3.67,72.0,3,5,5,5,5,0,snack,30-50g,8.656,1.52,0.02,Cream and cream substitutes,other,6.07,7.51,88.15,10.18,59.0,13
"Chocolate Candy, Candy Shell",healthy_fats,492.0,4.33,71.19,21.13,2.8,63.68,61.0,1,7,3,9,3,0,flexible,30-50g,8.434999999999999,1.45,0.01,Candy containing chocolate,energy_dense,3.52,57.88,38.65,13.08,14.0,11
"Cookie, Marshmallow, Chocolate-Covered",healthy_fats,421.0,4.0,67.7,16.9,2.0,44.8,188.0,1,7,3,9,3,0,flexible,30-50g,8.429,1.43,0.01,Cookies and brownies,energy_dense,3.8,64.32,36.13,4.72,0.0,11
"Cookie, Marshmallow, With Coconut",healthy_fats,421.0,4.0,67.7,16.9,2.0,44.8,188.0,1,7,3,9,3,0,flexible,30-50g,8.429,1.43,0.01,Cookies and brownies,energy_dense,3.8,64.32,36.13,4.72,0.0,11
"Cookie, Marshmallow Pie, Chocolate Covered",healthy_fats,421.0,4.0,67.7,16.9,2.0,44.8,188.0,1,7,3,9,3,0,flexible,30-50g,8.429,1.43,0.01,Cookies and brownies,energy_dense,3.8,64.32,36.13,4.72,0.0,11
"Cream Puff, Eclair, Custard Or Cream Filled, Not Iced",healthy_fats,264.0,4.76,12.92,21.52,0.4,2.24,160.0,1,6,5,5,5,0,flexible,30-50g,8.385000000000002,1.95,0.02,"Doughnuts, sweet rolls, pastries",healthy_fats,7.21,19.58,73.36,11.52,144.0,12
"Tomato And Cucumber Salad Made With Tomato, Cucumber, Oil, And Vinegar",healthy_fats,122.0,0.52,6.35,10.18,0.6,5.04,212.0,4,3,5,5,3,3,snack,30-50g,8.376000000000001,0.92,0.0,"Coleslaw, non-lettuce salads",vegetables,1.7,20.82,75.1,1.37,0.0,12
"Graham Crackers, Chocolate Covered",healthy_fats,500.0,4.0,66.78,25.8,2.2,37.3,265.0,1,7,3,9,3,0,flexible,30-50g,8.372,1.24,0.01,Cookies and brownies,energy_dense,3.2,53.42,46.44,17.2,1.0,11
"Cookie, Gluten Free",healthy_fats,474.0,2.19,76.03,17.89,2.5,49.0,275.0,1,7,3,9,3,0,flexible,30-50g,8.297,0.99,0.0,Cookies and brownies,energy_dense,1.85,64.16,33.97,7.9,0.0,11
"Cream Puff, Eclair, Custard Or Cream Filled, As To Icing",healthy_fats,280.0,4.2,11.05,24.39,0.3,2.38,132.0,1,6,5,5,5,0,flexible,30-50g,8.283000000000001,1.61,0.02,"Doughnuts, sweet rolls, pastries",healthy_fats,6.0,15.79,78.4,13.33,135.0,12
"Fruit Salad, Excluding Citrus Fruits, With Salad Dressing Or Mayonnaise",healthy_fats,247.0,1.78,13.57,20.68,1.5,9.93,127.0,3,5,4,5,5,0,flexible,30-50g,8.199000000000002,1.33,0.01,Other fruits and fruit salads,vegetables,2.88,21.98,75.35,2.85,8.0,12
Fruit Dressing,healthy_fats,219.0,2.51,12.42,17.97,0.1,9.67,31.0,3,5,4,5,5,0,flexible,30-50g,8.157,1.19,0.01,Salad dressings and vegetable oils,healthy_fats,4.58,22.68,73.85,10.33,53.0,12
"Sour Cream, Imitation",healthy_fats,208.0,2.4,6.63,19.52,0.0,6.63,102.0,3,5,4,5,5,0,flexible,30-50g,8.145,1.15,0.01,"Cream cheese, sour cream, whipped cream",dairy_proteins,4.62,12.75,84.46,17.79,0.0,12
