Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Nutritional Drink Or Shake, High Protein, Ready-To-Drink (Slim Fast)",weight_loss_friendly,61.0,6.59,0.85,3.38,0.4,0.6,72.0,5,1,4,0,0,7,snack,100g,9.1,10.0,0.11,Nutritional beverages,beverages,43.21,5.57,49.87,0.51,4.0,10
"Oysters, Raw",weight_loss_friendly,51.0,5.71,2.72,1.71,0.0,0.62,85.0,5,1,4,0,0,7,snack,100g,9.1,10.0,0.11,Shellfish,lean_proteins,44.78,21.33,30.18,0.47,40.0,10
Moo Goo Gai Pan,weight_loss_friendly,69.0,7.11,4.87,2.44,1.4,2.01,106.0,5,1,4,0,0,7,snack,100g,9.1,10.0,0.1,Stir-fry and soy-based sauce mixtures,other,41.22,28.23,31.83,0.39,17.0,10
"Soup, Sopa Or Caldo De Pollo",weight_loss_friendly,55.0,6.23,4.04,1.58,0.8,1.1,295.0,5,1,4,0,0,7,snack,100g,9.1,10.0,0.11,"Soups, broth-based",other,45.31,29.38,25.85,0.44,25.0,10
Gumbo With Rice,weight_loss_friendly,89.0,8.16,6.55,3.43,0.9,1.7,400.0,4,3,3,0,0,7,snack,100g,9.1,10.0,0.09,Seafood mixed dishes,lean_proteins,36.67,29.44,34.69,0.76,30.0,10
"Chicken And Vegetable Entree With Noodles, Diet Frozen Meal",weight_loss_friendly,85.0,7.58,9.78,1.89,1.6,2.27,283.0,5,1,4,0,0,7,snack,100g,9.1,10.0,0.09,Poultry mixed dishes,other,35.67,46.02,20.01,0.49,23.0,10
Lobster Gumbo,weight_loss_friendly,59.0,6.19,4.63,1.78,0.9,1.78,288.0,5,1,4,0,0,7,snack,100g,9.1,10.0,0.1,Seafood mixed dishes,lean_proteins,41.97,31.39,27.15,0.79,37.0,10
"Oysters, Canned",weight_loss_friendly,74.0,7.67,4.25,2.68,0.0,0.0,122.0,5,1,4,0,0,7,snack,100g,9.1,10.0,0.1,Shellfish,lean_proteins,41.46,22.97,32.59,0.69,60.0,10
"Oysters, Steamed",weight_loss_friendly,65.0,7.23,3.44,2.16,0.0,0.78,108.0,5,1,4,0,0,7,snack,100g,9.1,10.0,0.11,Shellfish,lean_proteins,44.49,21.17,29.91,0.6,51.0,10
Soybean Curd,weight_loss_friendly,61.0,7.17,1.18,3.69,0.2,0.7,8.0,5,1,4,0,0,7,snack,100g,9.1,10.0,0.12,Soy and meat-alternative products,other,47.02,7.74,54.44,0.53,0.0,10
