Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Milk Shake, Home Recipe, Flavors Other Than Chocolate, Light",balanced_foods,92.0,3.88,13.83,2.33,0.1,11.07,51.0,5,1,2,0,0,3,"pre_workout, lunch, dinner",100g,5.399000000000001,4.33,0.04,Milk shakes and other dairy drinks,dairy_proteins,16.87,60.13,22.79,1.41,13.0,8
"Onions, Cooked, Fat Added",balanced_foods,73.0,1.26,10.64,3.11,1.9,4.84,147.0,5,1,2,0,0,3,"pre_workout, lunch, dinner",100g,5.399000000000001,4.33,0.02,Onions,other,6.9,58.3,38.34,0.83,2.0,8
"Hot Chocolate / Cocoa, Reduced Sugar, Made With Whole Or Reduced-Fat (2%) Milk",balanced_foods,69.0,2.99,10.44,1.73,0.0,9.31,50.0,5,1,2,0,0,3,"pre_workout, lunch, dinner",100g,5.399000000000001,4.33,0.04,"Flavored milk, reduced fat",dairy_proteins,17.33,60.52,22.57,0.9,7.0,8
"Peppers And Onions, Cooked, Fat Added",balanced_foods,59.0,1.04,8.14,2.66,1.5,3.99,123.0,5,1,2,0,0,3,"lunch, dinner",100g,5.393000000000001,4.31,0.02,Other vegetables and combinations,vegetables,7.05,55.19,40.58,0.72,2.0,8
"Cantaloupe, Raw",balanced_foods,38.0,0.82,8.16,0.18,0.8,7.88,30.0,5,1,2,0,0,3,"lunch, dinner",100g,5.378,4.26,0.02,Melons,fruits,8.63,85.89,4.26,0.05,0.0,8
"Carrots, Canned, Cooked With Oil",balanced_foods,50.0,0.62,5.38,3.1,1.5,2.41,235.0,5,1,2,0,0,3,"lunch, dinner",100g,5.372,4.24,0.01,Carrots,vegetables,4.96,43.04,55.8,0.42,0.0,8
"Soup, Bisque",balanced_foods,75.0,2.28,5.9,4.81,0.9,1.9,239.0,5,1,2,0,0,3,"lunch, dinner",100g,5.372,4.24,0.03,"Soups, cream-based",other,12.16,31.47,57.72,2.53,22.0,8
"Coffee, Iced Latte, Flavored",balanced_foods,40.0,1.69,6.09,0.98,0.0,5.81,23.0,5,1,2,0,0,3,"lunch, dinner",100g,5.366,4.22,0.04,Coffee,beverages,16.9,60.9,22.05,0.57,4.0,8
"Coffee, Cafe Con Leche, Decaffeinated",balanced_foods,40.0,1.69,5.7,1.15,0.0,4.91,26.0,5,1,2,0,0,3,"lunch, dinner",100g,5.366,4.22,0.04,Coffee,beverages,16.9,57.0,25.87,0.66,4.0,8
"Coffee, Iced Latte, Decaffeinated, Flavored",balanced_foods,40.0,1.69,6.12,0.99,0.0,5.84,23.0,5,1,2,0,0,3,"lunch, dinner",100g,5.366,4.22,0.04,Coffee,beverages,16.9,61.2,22.28,0.57,4.0,8
"Onions, Pearl, Cooked",balanced_foods,50.0,0.7,6.49,2.59,1.4,2.81,129.0,5,1,2,0,0,3,"lunch, dinner",100g,5.359999999999999,4.2,0.01,Onions,other,5.6,51.92,46.62,0.68,2.0,8
"Coffee, Cafe Con Leche",balanced_foods,40.0,1.67,5.63,1.13,0.0,4.83,26.0,5,1,2,0,0,3,"lunch, dinner",100g,5.353999999999999,4.18,0.04,Coffee,beverages,16.7,56.3,25.42,0.65,4.0,8
"Spaghetti Squash, Cooked",balanced_foods,49.0,0.65,6.26,2.8,1.4,2.45,138.0,5,1,2,0,0,3,"lunch, dinner",100g,5.353999999999999,4.18,0.01,Other red and orange vegetables,vegetables,5.31,51.1,51.43,0.73,2.0,8
"Corn, Canned, Reduced Sodium, Cooked With Oil",balanced_foods,92.0,2.04,14.47,3.94,1.8,4.33,13.0,5,1,2,0,0,3,"pre_workout, lunch, dinner",100g,5.351000000000001,4.17,0.02,Corn,other,8.87,62.91,38.54,0.5,0.0,8
"Chocolate Milk, Reduced Sugar, Whole",balanced_foods,73.0,3.04,8.38,2.92,0.0,7.79,46.0,5,1,2,0,0,3,"lunch, dinner",100g,5.348000000000001,4.16,0.04,"Flavored milk, whole",dairy_proteins,16.66,45.92,36.0,1.63,10.0,8
"Gelatin Dessert, Sugar Free",balanced_foods,20.0,0.83,4.22,0.0,0.0,0.0,48.0,5,1,2,0,0,3,"lunch, dinner",100g,5.345000000000001,4.15,0.04,"Gelatins, ices, sorbets",other,16.6,84.4,0.0,0.0,0.0,8
"Summer Squash, Yellow Or Green, Canned, Cooked, Fat Added, As To Fat Type",balanced_foods,35.0,0.6,2.86,2.6,1.3,1.15,312.0,4,1,2,0,0,3,"lunch, dinner",100g,5.329000000000001,5.43,0.02,Other vegetables and combinations,vegetables,6.86,32.69,66.86,0.68,2.0,7
"Potato, Mashed, From School Lunch",balanced_foods,77.0,2.14,13.2,1.89,1.0,1.85,201.0,5,1,2,0,0,3,"pre_workout, lunch, dinner",100g,5.324,4.08,0.03,Mashed potatoes and white potato mixtures,other,11.12,68.57,22.09,0.49,1.0,8
