Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Onion Dip, Yogurt Based",processed_foods,160.0,6.82,4.06,12.91,0.2,3.38,507.0,2,4,7,1,2,0,snack,100g,7.417,4.39,0.04,"Dips, gravies, other sauces",other,17.05,10.15,72.62,2.73,14.0,13
"Pancakes, Plain, Fast Food / Restaurant",processed_foods,307.0,7.16,34.14,15.48,2.1,6.81,544.0,0,6,5,5,2,0,flexible,100g,7.406000000000001,3.02,0.02,"Pancakes, waffles, French toast",quick_carbs,9.33,44.48,45.38,3.42,64.0,11
Knockwurst,processed_foods,307.0,11.1,3.2,27.7,0.0,0.0,930.0,2,7,3,3,2,0,"lunch, dinner",100g,7.386000000000001,3.62,0.04,Sausages,other,14.46,4.17,81.21,10.21,60.0,12
"Olives, Green",processed_foods,145.0,1.03,3.84,15.32,3.3,0.54,1556.0,5,2,6,1,0,3,flexible,100g,7.297000000000001,2.99,0.01,"Olives, pickles, pickled vegetables",healthy_fats,2.84,10.59,95.09,2.03,0.0,13
"Potato Tots, Fast Food / Restaurant",processed_foods,236.0,1.89,24.31,15.4,2.3,0.27,571.0,2,5,6,3,2,0,breakfast,100g,7.234,1.78,0.01,French fries and other fried white potatoes,energy_dense,3.2,41.2,58.73,3.63,0.0,13
Alfredo Sauce With Seafood,processed_foods,145.0,5.91,1.99,12.46,0.0,0.73,541.0,3,2,7,1,0,3,snack,100g,7.224000000000001,4.08,0.04,"Dips, gravies, other sauces",other,16.3,5.49,77.34,6.97,64.0,12
"Hot Dog, Meat And Poultry",processed_foods,277.0,9.72,5.02,24.18,0.0,2.75,828.0,0,7,6,1,2,0,"lunch, dinner",100g,7.1530000000000005,3.51,0.04,Frankfurters,other,14.04,7.25,78.56,7.58,78.0,13
"Nachos, Cheese Only",processed_foods,266.0,4.46,27.83,15.74,2.0,0.45,547.0,0,6,6,3,2,0,breakfast,100g,7.029000000000001,2.43,0.02,Nachos,other,6.71,41.85,53.26,2.99,6.0,12
Frankfurters Or Hot Dogs And Sauerkraut,processed_foods,198.0,7.56,3.42,17.31,1.1,1.46,764.0,2,4,6,1,2,0,snack,100g,7.011000000000001,4.37,0.04,Meat mixed dishes,other,15.27,6.91,78.68,7.04,36.0,12
"Chipotle Dip, Yogurt Based",processed_foods,189.0,7.93,3.33,15.99,0.0,2.97,636.0,2,4,6,1,2,0,snack,100g,6.960000000000001,4.2,0.04,"Dips, gravies, other sauces",other,16.78,7.05,76.14,3.22,16.0,12
"Potato, Hash Brown, From Restaurant",processed_foods,272.0,2.58,28.88,17.04,2.7,0.56,566.0,0,6,6,3,2,0,breakfast,100g,6.882000000000001,1.94,0.01,French fries and other fried white potatoes,energy_dense,3.79,42.47,56.38,2.54,0.0,12
"Potato, Hash Brown, From Fast Food",processed_foods,272.0,2.58,28.88,17.04,2.7,0.56,566.0,0,6,6,3,2,0,breakfast,100g,6.882000000000001,1.94,0.01,French fries and other fried white potatoes,energy_dense,3.79,42.47,56.38,2.54,0.0,12
Alfredo Sauce With Meat,processed_foods,171.0,6.52,1.44,15.34,0.0,0.73,520.0,2,4,6,1,2,0,snack,100g,6.843,3.81,0.04,"Dips, gravies, other sauces",other,15.25,3.37,80.74,8.14,52.0,12
Hoisin Sauce,processed_foods,220.0,3.31,44.08,3.39,2.8,27.26,1615.0,3,3,6,2,2,0,breakfast,100g,6.8340000000000005,2.78,0.02,Soy-based condiments,other,6.02,80.15,13.87,0.57,3.0,12
"Meat Spread Or Potted Meat,",processed_foods,235.0,7.66,11.94,17.34,0.2,0.0,1013.0,2,4,6,1,2,0,flexible,100g,6.702,3.34,0.03,Cold cuts and cured meats,other,13.04,20.32,66.41,5.98,38.0,12
Alfredo Sauce,processed_foods,150.0,2.12,1.77,15.0,0.0,0.9,552.0,3,4,4,1,2,3,flexible,100g,6.623,1.41,0.01,"Dips, gravies, other sauces",other,5.65,4.72,90.0,8.52,44.0,11
