Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Popcorn Chips, Plain",energy_dense,438.0,10.19,74.18,11.19,4.9,0.79,586.0,4,8,6,9,0,2,"lunch, dinner",100g,11.535,3.45,0.02,"Tortilla, corn, other chips",processed_foods,9.31,67.74,22.99,1.58,0.0,18
"Popcorn Chips, Other Flavors",energy_dense,438.0,10.19,74.18,11.19,4.9,0.79,586.0,4,8,6,9,0,2,"lunch, dinner",100g,11.535,3.45,0.02,"Tortilla, corn, other chips",processed_foods,9.31,67.74,22.99,1.58,0.0,18
"Breadsticks, Hard, Gluten Free",energy_dense,453.0,11.25,66.3,15.84,10.2,0.86,438.0,4,8,5,9,0,2,"lunch, dinner",100g,11.522000000000002,4.74,0.02,"Crackers, excludes saltines",quick_carbs,9.93,58.54,31.47,2.07,0.0,17
"Crackers, Gluten Free, Flavored",energy_dense,453.0,11.25,66.3,15.84,10.2,0.86,438.0,4,8,5,9,0,2,"lunch, dinner",100g,11.522000000000002,4.74,0.02,"Crackers, excludes saltines",quick_carbs,9.93,58.54,31.47,2.07,0.0,17
"Crackers, Gluten Free, Plain",energy_dense,453.0,11.25,66.3,15.84,10.2,0.86,438.0,4,8,5,9,0,2,"lunch, dinner",100g,11.522000000000002,4.74,0.02,"Crackers, excludes saltines",quick_carbs,9.93,58.54,31.47,2.07,0.0,17
Nutritional Powder Mix (Slim Fast),energy_dense,448.0,8.13,73.92,13.34,18.1,38.02,472.0,2,8,6,9,0,2,"lunch, dinner",100g,11.455000000000002,5.85,0.02,Protein and nutritional powders,other,7.26,66.0,26.8,1.45,5.0,16
"Nutritional Powder Mix, Sugar Free (Slim Fast)",energy_dense,448.0,8.13,73.92,13.34,18.1,38.02,472.0,2,8,6,9,0,2,"lunch, dinner",100g,11.455000000000002,5.85,0.02,Protein and nutritional powders,other,7.26,66.0,26.8,1.45,5.0,16
"Popcorn, Ready-To-Eat, Plain",energy_dense,482.0,10.19,61.24,23.26,11.4,0.68,616.0,4,8,5,9,0,2,"lunch, dinner",100g,11.443999999999999,4.48,0.02,Popcorn,other,8.46,50.82,43.43,3.14,0.0,17
"Peanut Butter Sandwich,",energy_dense,382.0,13.88,39.85,20.21,3.2,7.13,442.0,4,8,5,9,0,2,"lunch, dinner",100g,11.440999999999999,4.47,0.04,Peanut butter and jelly sandwiches,healthy_fats,14.53,41.73,47.62,4.13,0.0,17
"Peanut Butter Sandwich, With Regular Peanut Butter, On White Bread",energy_dense,382.0,13.88,39.85,20.21,3.2,7.13,442.0,4,8,5,9,0,2,"lunch, dinner",100g,11.440999999999999,4.47,0.04,Peanut butter and jelly sandwiches,healthy_fats,14.53,41.73,47.62,4.13,0.0,17
"Cereal, Wheat Squares",energy_dense,356.0,10.48,75.04,1.52,13.5,10.14,578.0,5,6,5,8,0,2,"lunch, dinner",100g,11.422,6.74,0.03,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",quick_carbs,11.78,84.31,3.84,0.14,0.0,16
