Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
Fish With Tomato-Based Sauce,lean_proteins,80.0,16.28,1.59,0.69,0.4,1.06,350.0,6,3,4,0,7,9,"post_workout, lunch, dinner, snack",100-150g,13.0,10.0,0.2,Seafood mixed dishes,lean_proteins,81.4,7.95,7.76,0.13,38.0,13
"Fish, Perch,",lean_proteins,224.0,13.56,11.72,13.34,0.5,0.2,400.0,4,7,7,1,6,6,"post_workout, lunch, dinner",100-150g,12.984,6.28,0.06,Fish,lean_proteins,24.21,20.93,53.6,1.87,46.0,18
"Fish, Perch, Fried",lean_proteins,224.0,13.56,11.72,13.34,0.5,0.2,400.0,4,7,7,1,6,6,"post_workout, lunch, dinner",100-150g,12.984,6.28,0.06,Fish,lean_proteins,24.21,20.93,53.6,1.87,46.0,18
"Egg White, Omelet, Scrambled, Or Fried, With Cheese, Meat, And Vegetables",lean_proteins,135.0,11.47,2.6,8.72,0.1,0.94,408.0,6,4,7,1,4,7,"post_workout, lunch, dinner, snack",100-150g,12.971,8.57,0.08,Eggs and omelets,other,33.99,7.7,58.13,3.31,18.0,17
"Chicken Breast, Fried, Coated, Skin / Coating Eaten, From Fast Food / Restaurant",lean_proteins,273.0,19.32,10.72,16.95,0.3,0.1,549.0,2,7,6,1,9,6,"post_workout, lunch, dinner",100-150g,12.957,7.19,0.07,"Chicken, whole pieces",lean_proteins,28.31,15.71,55.88,3.57,75.0,15
"Egg White, Omelet, Scrambled, Or Fried, With Cheese And Meat",lean_proteins,141.0,11.99,2.49,9.21,0.0,0.93,427.0,6,4,7,1,4,7,"post_workout, lunch, dinner, snack",100-150g,12.950000000000001,8.5,0.09,Eggs and omelets,other,34.01,7.06,58.79,3.51,20.0,17
"Fish, Pompano, Fried",lean_proteins,289.0,15.96,11.72,19.37,0.5,0.2,393.0,2,8,6,1,9,6,"post_workout, lunch, dinner",100-150g,12.91,5.7,0.06,Fish,lean_proteins,22.09,16.22,60.32,4.33,44.0,16
"Fish, Cake Or Patty",lean_proteins,212.0,13.63,10.4,12.64,1.2,1.01,429.0,4,6,7,1,6,6,"post_workout, lunch, dinner",100-150g,12.8,7.0,0.06,Seafood mixed dishes,lean_proteins,25.72,19.62,53.66,3.94,60.0,17
"Fish, Mackerel, Fried",lean_proteins,284.0,17.17,11.72,18.17,0.5,0.2,409.0,2,7,6,1,9,6,"post_workout, lunch, dinner",100-150g,12.666,6.22,0.06,Fish,lean_proteins,24.18,16.51,57.58,3.37,42.0,15
"Taco, Fish",lean_proteins,275.0,11.62,22.99,15.29,2.5,0.43,447.0,2,8,8,3,6,4,"breakfast, post_workout, lunch, dinner",100-150g,12.639000000000001,5.13,0.04,Burritos and tacos,other,16.9,33.44,50.04,2.38,27.0,18
"Fish, Cod,",lean_proteins,217.0,13.52,11.72,12.48,0.5,0.2,426.0,4,6,7,1,6,6,"post_workout, lunch, dinner",100-150g,12.638000000000002,6.46,0.06,Fish,lean_proteins,24.92,21.6,51.76,1.73,42.0,17
"Fish, Cod, Fried",lean_proteins,217.0,13.52,11.72,12.48,0.5,0.2,426.0,4,6,7,1,6,6,"post_workout, lunch, dinner",100-150g,12.638000000000002,6.46,0.06,Fish,lean_proteins,24.92,21.6,51.76,1.73,42.0,17
"Fried Fish With Sauce, Puerto Rican Style",lean_proteins,155.0,11.81,3.42,10.3,0.8,1.7,662.0,4,6,7,1,6,4,"post_workout, lunch, dinner, snack",100-150g,12.542000000000002,8.14,0.08,Seafood mixed dishes,lean_proteins,30.48,8.83,59.81,1.97,39.0,17
"Fish, Salmon Cake Or Patty",lean_proteins,285.0,16.07,4.46,22.1,0.3,0.65,404.0,2,7,6,1,9,6,"post_workout, lunch, dinner",100-150g,12.521999999999998,5.74,0.06,Seafood mixed dishes,lean_proteins,22.55,6.26,69.79,4.05,83.0,15
