Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
Beef With Cream Or White Sauce,complete_proteins,185.0,22.5,2.75,9.31,0.0,1.38,340.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.12,Meat mixed dishes,other,48.65,5.95,45.29,3.77,70.0,20
"Chicken Thigh, Fried, Coated, Skin / Coating Not Eaten, From Raw",complete_proteins,192.0,24.12,0.0,9.93,0.0,0.0,334.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.13,"Chicken, whole pieces",lean_proteins,50.25,0.0,46.55,2.52,130.0,20
"Quail, Cooked",complete_proteins,226.0,25.0,0.0,14.04,0.0,0.0,214.0,5,7,8,4,9,5,"post_workout, lunch, dinner",100-150g,16.4,10.0,0.11,"Turkey, duck, other poultry",lean_proteins,44.25,0.0,55.91,3.94,86.0,20
"Pork,",complete_proteins,192.0,27.14,0.0,8.67,0.0,0.0,348.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.14,Pork,other,56.54,0.0,40.64,3.03,77.0,20
Rabbit,complete_proteins,204.0,30.14,0.0,8.34,0.0,0.0,344.0,5,7,8,4,9,5,"post_workout, lunch, dinner",100-150g,16.4,10.0,0.15,"Lamb, goat, game",other,59.1,0.0,36.79,2.49,85.0,20
"Chicken Leg, Drumstick And Thigh, Fried, Coated, Skin / Coating Not Eaten",complete_proteins,183.0,23.92,0.0,8.98,0.0,0.0,343.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.13,"Chicken, whole pieces",lean_proteins,52.28,0.0,44.16,2.2,128.0,20
"Duck, Cooked, Skin Not Eaten",complete_proteins,200.0,23.38,0.0,11.15,0.0,0.0,227.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.12,"Turkey, duck, other poultry",lean_proteins,46.76,0.0,50.18,3.93,89.0,20
"Clams, Baked Or Broiled",complete_proteins,148.0,18.23,4.44,5.73,0.0,0.01,285.0,7,5,8,3,7,8,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.12,Shellfish,lean_proteins,49.27,12.0,34.84,1.42,41.0,20
"Duck, Roasted, Skin Not Eaten",complete_proteins,200.0,23.38,0.0,11.15,0.0,0.0,227.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.12,"Turkey, duck, other poultry",lean_proteins,46.76,0.0,50.18,3.93,89.0,20
"Dove, Cooked, As To Cooking Method",complete_proteins,212.0,23.8,0.0,12.95,0.0,0.0,219.0,5,7,8,4,9,5,"post_workout, lunch, dinner",100-150g,16.4,10.0,0.11,"Turkey, duck, other poultry",lean_proteins,44.91,0.0,54.98,3.72,116.0,20
"Burrito Bowl, Chicken",complete_proteins,161.0,21.04,0.27,8.11,0.0,0.09,301.0,5,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.13,Other Mexican mixed dishes,other,52.27,0.67,45.34,3.29,93.0,20
"Dove, Fried",complete_proteins,223.0,23.06,1.46,13.84,0.0,0.11,197.0,5,7,8,4,9,5,"post_workout, lunch, dinner",100-150g,16.4,10.0,0.1,"Turkey, duck, other poultry",lean_proteins,41.36,2.62,55.86,3.93,114.0,20
"Clams,",complete_proteins,143.0,16.14,6.74,5.2,0.1,0.05,199.0,7,5,8,3,7,8,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.11,Shellfish,lean_proteins,45.15,18.85,32.73,0.91,34.0,20
Chicken Or Turkey Divan,complete_proteins,140.0,15.51,4.01,7.26,1.3,0.95,295.0,7,5,8,3,7,8,"post_workout, lunch, dinner, snack",100-150g,16.4,10.0,0.11,Poultry mixed dishes,other,44.31,11.46,46.67,2.64,71.0,20
Ham Or Pork With Gravy,complete_proteins,160.0,20.15,1.58,7.49,0.0,0.09,349.0,5,7,8,3,9,5,"post_workout, lunch, dinner, snack",100-150g,16.1,10.0,0.13,Meat mixed dishes,other,50.37,3.95,42.13,2.64,58.0,20
"Chicken Leg, Drumstick And Thigh, Baked Or Broiled, Skin Not Eaten",complete_proteins,168.0,24.41,0.0,7.13,0.0,0.0,345.0,5,7,8,3,9,5,"post_workout, lunch, dinner, snack",100-150g,16.1,10.0,0.15,"Chicken, whole pieces",lean_proteins,58.12,0.0,38.2,1.98,131.0,20
"Chicken, As To Part And Cooking Method, Skin Eaten",complete_proteins,196.0,25.07,0.1,10.65,0.0,0.1,343.0,4,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.0,10.0,0.13,"Chicken, whole pieces",lean_proteins,51.16,0.2,48.9,2.73,113.0,19
"Chicken Thigh, Baked, Broiled, Or Roasted, Skin Eaten, From Raw",complete_proteins,231.0,23.12,0.0,14.62,0.0,0.0,332.0,4,7,8,4,9,5,"post_workout, lunch, dinner",100-150g,16.0,10.0,0.1,"Chicken, whole pieces",lean_proteins,40.03,0.0,56.96,4.09,132.0,19
"Beef, Roast",complete_proteins,206.0,29.08,0.0,9.72,0.0,0.0,372.0,5,7,7,4,9,5,"post_workout, lunch, dinner",100-150g,16.0,10.0,0.14,"Beef, excludes ground",other,56.47,0.0,42.47,3.8,89.0,19
"Shrimp,",complete_proteins,146.0,15.46,4.9,6.67,0.2,0.07,348.0,6,5,8,3,7,8,"post_workout, lunch, dinner, snack",100-150g,16.0,10.0,0.11,Shellfish,lean_proteins,42.36,13.42,41.12,1.23,140.0,19
"Chicken Thigh, Stewed, Skin Not Eaten",complete_proteins,175.0,24.36,0.0,8.56,0.0,0.0,384.0,5,7,7,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.0,10.0,0.14,"Chicken, whole pieces",lean_proteins,55.68,0.0,44.02,2.33,140.0,19
"Chicken Thigh, Rotisserie, Skin Not Eaten",complete_proteins,193.0,24.09,0.0,10.74,0.0,0.0,335.0,4,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.0,10.0,0.12,"Chicken, whole pieces",lean_proteins,49.93,0.0,50.08,2.78,128.0,19
"Beef Rolls, Stuffed With Vegetables Or Meat Mixture, Tomato-Based Sauce",complete_proteins,195.0,20.56,6.61,9.08,0.7,1.23,351.0,5,7,7,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.0,10.0,0.11,Meat mixed dishes,other,42.17,13.56,41.91,3.37,56.0,19
"Pork, Chop, Coated, As To Fat Eaten",complete_proteins,219.0,25.54,7.2,9.18,0.4,0.62,385.0,5,7,7,4,9,5,"post_workout, lunch, dinner",100-150g,16.0,10.0,0.12,Pork,other,46.65,13.15,37.73,2.68,63.0,19
"Pork, Chop, Lean And Fat Eaten",complete_proteins,195.0,26.97,0.01,9.17,0.0,0.0,351.0,5,7,7,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.0,10.0,0.14,Pork,other,55.32,0.02,42.32,3.18,72.0,19
"Chicken Thigh, As To Cooking Method, Skin Not Eaten",complete_proteins,193.0,24.09,0.0,10.74,0.0,0.0,335.0,4,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.0,10.0,0.12,"Chicken, whole pieces",lean_proteins,49.93,0.0,50.08,2.78,128.0,19
"Chicken Thigh, Baked Or Broiled, Skin Not Eaten, From Pre-Cooked",complete_proteins,193.0,24.09,0.0,10.74,0.0,0.0,335.0,4,7,8,4,9,5,"post_workout, lunch, dinner, snack",100-150g,16.0,10.0,0.12,"Chicken, whole pieces",lean_proteins,49.93,0.0,50.08,2.78,128.0,19
