Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Strawberry Milk, Low-Fat (1%)",fruits,69.0,3.13,12.3,0.89,0.0,11.82,39.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,6.362,4.54,0.05,"Flavored milk, lowfat",dairy_proteins,18.14,71.3,11.61,0.52,5.0,8
"Soup, Fruit",fruits,30.0,0.54,7.04,0.12,0.8,5.83,8.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,6.341,4.47,0.02,"Soups, broth-based",other,7.2,93.87,3.6,0.02,0.0,8
"Strawberry Milk, Reduced-Fat (2%)",fruits,71.0,3.16,10.7,1.8,0.0,10.46,39.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,6.335,4.45,0.04,"Flavored milk, reduced fat",dairy_proteins,17.8,60.28,22.82,1.04,8.0,8
"Gelatin Dessert, Sugar Free, With Fruit",fruits,22.0,0.77,4.86,0.01,0.2,1.13,41.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,6.3229999999999995,4.41,0.04,"Gelatins, ices, sorbets",other,14.0,88.36,0.41,0.0,0.0,8
"Fruit Mixture, Frozen",fruits,48.0,0.69,11.29,0.23,1.4,9.18,9.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,6.305,4.35,0.01,Other fruits and fruit salads,vegetables,5.75,94.08,4.31,0.04,0.0,8
"Fruit Salad, Fresh Or Raw, Including Citrus Fruits, No Dressing",fruits,56.0,0.71,13.48,0.19,1.7,10.22,4.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,6.29,4.3,0.01,Other fruits and fruit salads,vegetables,5.07,96.29,3.05,0.04,0.0,8
"Fruit Smoothie, With Whole Fruit, Non-Dairy",fruits,60.0,1.45,11.56,1.06,1.1,5.17,23.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,6.2749999999999995,4.25,0.02,Smoothies and grain drinks,beverages,9.67,77.07,15.9,0.14,0.0,8
"Fruit And Vegetable Smoothie, With Dairy",fruits,64.0,1.59,12.74,0.72,1.0,9.17,26.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,6.215,4.05,0.02,Smoothies and grain drinks,beverages,9.94,79.62,10.12,0.3,2.0,8
"Fruit Smoothie, With Whole Fruit, No Dairy",fruits,54.0,0.61,12.67,0.35,1.5,8.78,2.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,6.173,3.91,0.01,Smoothies and grain drinks,beverages,4.52,93.85,5.83,0.04,0.0,8
"Fruit Salad, Fresh Or Raw, Excluding Citrus Fruits, No Dressing",fruits,59.0,0.64,13.94,0.21,1.5,10.45,4.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,6.0889999999999995,3.63,0.01,Other fruits and fruit salads,vegetables,4.34,94.51,3.2,0.04,0.0,8
"Fruit And Vegetable Smoothie, Non-Dairy",fruits,60.0,1.16,12.39,0.61,1.0,8.62,28.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,6.08,3.6,0.02,Smoothies and grain drinks,beverages,7.73,82.6,9.15,0.09,0.0,8
"Orange, Canned, Juice Pack",fruits,37.0,0.62,9.57,0.03,0.7,8.87,5.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,6.071,3.57,0.02,Citrus fruits,fruits,6.7,100.0,0.73,0.0,0.0,8
"Strawberry Milk, Whole",fruits,86.0,3.03,11.79,2.97,0.0,11.68,38.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,6.056,3.52,0.04,"Flavored milk, whole",dairy_proteins,14.09,54.84,31.08,1.72,11.0,8
"Yogurt, Whole Milk, Flavors Other Than Fruit",fruits,95.0,3.28,11.76,3.88,0.0,10.5,36.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,6.035,3.45,0.03,"Yogurt, regular",dairy_proteins,13.81,49.52,36.76,2.0,12.0,8
"Fruit And Vegetable Smoothie, No Dairy",fruits,63.0,1.09,13.78,0.37,1.0,9.82,19.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.9959999999999996,3.32,0.02,Smoothies and grain drinks,beverages,6.92,87.49,5.29,0.06,0.0,8
"Fruit Juice, Acai Blend",fruits,62.0,0.83,12.83,0.83,1.2,11.1,13.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.981,3.27,0.01,Fruit drinks,fruits,5.35,82.77,12.05,0.0,0.0,8
"Fruit Smoothie Juice Drink, No Dairy",fruits,51.0,0.6,11.88,0.24,1.0,8.35,2.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.942,3.14,0.01,Smoothies and grain drinks,beverages,4.71,93.18,4.24,0.03,0.0,8
"Cereal, Other, Fruit Flavored",fruits,383.0,4.71,82.57,3.56,2.9,32.73,523.0,1,4,3,4,0,3,"breakfast, pre_workout",1 medium or 100g,5.897,1.99,0.01,"Ready-to-eat cereal, higher sugar (>21.2g/100g)",quick_carbs,4.92,86.23,8.37,0.61,0.0,8
"Orange, Canned,",fruits,46.0,0.6,11.82,0.04,0.7,11.14,5.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.849,2.83,0.01,Citrus fruits,fruits,5.22,100.0,0.78,0.0,0.0,8
"Fruit Cocktail, Canned, Juice Pack",fruits,48.0,0.43,12.41,0.09,0.9,11.27,7.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.831,2.77,0.01,Other fruits and fruit salads,vegetables,3.58,100.0,1.69,0.01,0.0,8
"Grapefruit, Canned",fruits,36.0,0.58,9.15,0.1,0.4,8.75,2.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.816,2.72,0.02,Citrus fruits,fruits,6.44,100.0,2.5,0.01,0.0,8
"Applesauce, Unsweetened",fruits,52.0,0.27,12.26,0.16,1.1,9.66,1.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.789,2.63,0.01,Apples,fruits,2.08,94.31,2.77,0.01,0.0,8
